check_id	category	scope	expected	observed	status	evidence	justification
EQ_001	source_preservation	approved protected source trees	Read-only source bytes unchanged	data/frozen: 21 files, 13394810 bytes, DA8AB3A208D586E3D84890009FCBF53E4F85DA90F31C57507FB291BE865E2755; results/reference: 60 files, 7423160 bytes, D41858EFF08069F756AC0F78A34A855749154A5DAAC4A7CDFBF6EE7DF56D7396; configs: 6 files, 25797 bytes, 6C933CB7100040C4E14384BF27D7CA454EF7A22455A5C1A57D780C8AD38A9EA9	PASS	Read-only preflight and final source-tree recheck	The public build never writes to the approved source tree
EQ_002	retained_outputs	results/reference/**	60 of 60 public copies byte-identical	60 of 60 byte-identical	PASS	DATA_MANIFEST.csv; CURRENT_ANALYSIS_AUTHORITY_MANIFEST.csv	Accepted numerical references were copied without recomputation or serialization
EQ_003	retained_metadata	data/frozen/metadata/class_membership.csv	1 of 1 public copy byte-identical	1 of 1 byte-identical	PASS	DATA_MANIFEST.csv	The descriptive many-to-many registry was retained without row or byte changes
EQ_004	external_input_contract	20 excluded governed inputs	All sizes and SHA-256 values match when supplied	20 of 20 files; zero size/hash mismatches	PASS	EXTERNAL_INPUT_MANIFEST.tsv	Verify validates the complete external tree before scientific work
EQ_005	executable_ast	production Python unaffected by public routing	Documentation-normalized executable AST equality	28 production files exactly equivalent	PASS	scripts/compare_executable_ast.py	Docstrings, comments, and SPDX headers do not alter executable syntax
EQ_006	executable_ast_review	intentional public changes	Every executable AST difference bounded and reviewed	16 changed, 1 new audit tool, 1 removed source-era sanitizer; all reviewed	PASS	scripts/compare_executable_ast.py; PUBLIC_RELEASE_FILE_DECISIONS.tsv	Changes are metadata tooling, version metadata, explicit external-input routing, fail-closed guards, or synthetic Smoke validation; numerical algorithms were not changed
EQ_007	configuration	configs/*.yaml	Six computation-bearing YAML values exactly equal after parsing	6 of 6 parsed structures equal; descriptor comments differ	PASS	audits/CODE_INVENTORY.csv; tests/test_governance_configs.py	Public descriptors do not change scientific parameter values
EQ_008	public_tests	self-contained test lane	All non-external tests pass	39 passed; 21 external-data tests skipped by explicit marker	PASS	pytest -q under Python 3.12.10	A skip requires the absent CARDOZO_HR_EXTERNAL_INPUT_ROOT contract and is not treated as a pass
EQ_009	external_tests	governed external-input lane	Full Python suite passes with exact external inputs	60 passed; 0 failed	PASS	pytest -q with CARDOZO_HR_EXTERNAL_INPUT_ROOT under Python 3.12.10	The same assertions and tolerances run once the 20-file authority is supplied
EQ_010	smoke_lane	synthetic public fixtures	All self-contained Smoke checks pass	8 of 8 PASS	PASS	data/fixtures/**; launchers/run_reproduction.ps1	Smoke uses invented values only and is not scientific-result reproduction
EQ_011	synthetic_hr_contract	activity x expression and missingness	HR values -7, 7, 10, NA; relation metadata retained; no zero-fill	Four unique coordinates; values -7, 7, 10, NA; exactly one NA; no zero-fill	PASS	data/fixtures/smoke_activity.csv; data/fixtures/smoke_expression.csv	The public fixture directly exercises the governed multiplication and missingness rule
EQ_012	verify_lane	complete governed regression	Every expected numerical and structural check passes	87 of 87 PASS; scientific_assumptions_changed=false	PASS	launchers/run_reproduction.ps1; results/reference/**	Verify regenerates derivatives from user-supplied hash-validated authorities and compares them to accepted references
EQ_013	analysis_contract	key accepted dimensions and counts	58x18 and 58x77 HR; 19/14 strict calls; 59/38 whole-body calls; 35 profiles; 595 pairs	All expected dimensions, call counts, 35 profiles, and 595 unordered pairs reproduced	PASS	results/reference/FINAL_QA_SUMMARY.csv; results/reference/whole_body/**	The public routing boundary does not alter accepted numerical scope
EQ_014	full_mode	argument and acquisition boundary	Missing external inputs fail before computation	Clear nonzero failure naming the initial activity table, PDSP workbook, project root, and external input root	PASS	docs/FULL_MODE.md; src/cardozo_ketamine_hr/portable.py	Full is intentionally not claimed as self-contained and never invents or downloads governed inputs
EQ_015	scientific_interpretation	missingness, censoring, identity, and coordinates	No zero-fill, refit, coordinate movement, identity merge, or causal reinterpretation	All regression checks pass; no accepted numerical authority changed	PASS	docs/METHODS.md; docs/PROVENANCE.md	The release changes distribution and routing, not scientific assumptions
