"code_id","source_path","language","analysis_stage","current_status","inputs","outputs","dependencies","validation_source","duplicate_of","included_in_repo","repo_destination","notes"
"CI001","NOT_LOCATED","Unknown","initial assertion-table producer","UNKNOWN","unrecovered raw construction inputs","exact 17715x45 initial activity table","unknown","frozen boundary","","NO","","No producer recovered; authority sha256=1F799CB884DEA1A3663763F4B87068E0DAA7C348D490F7730665F59CA9F57F2C"
"CI002","PROJECT_ROOT/09_CODE_AND_PIPELINES/Current/cardozo_final_one_shot.py","Python","external raw-source profiles","LEGACY_REQUIRED","external drug records","historical external profiles","pandas; numpy","frozen profiles","","NO","optional/legacy/cardozo_final_one_shot.py","sha256=39D408CFA22F6384770C1D80661F39570D3EBC87E1B0A32ACAD21FF489DEE419; external boundary"
"CI003","PROJECT_ROOT/09_CODE_AND_PIPELINES/Current/cardozo_fix_new_comparators_full76_add_psilocybin_v2.py","Python","external comparator repair","LEGACY_REQUIRED","raw ChEMBL sources","repaired profiles","pandas; numpy","frozen profiles","","NO","optional/legacy/cardozo_fix_new_comparators_full76_add_psilocybin_v2.py","sha256=89CA3E8B5F473F64409569F36E9E583FDD9864C024564EFAFF06D802460AA258; external boundary"
"CI004","PROJECT_ROOT/09_CODE_AND_PIPELINES/Current/finalize_cardozo_full76_repair_v2.py","Python","external comparator finalization","LEGACY_REQUIRED","repair intermediates","final profiles","pandas; numpy","frozen profiles","","NO","optional/legacy/finalize_cardozo_full76_repair_v2.py","sha256=C3F34C1D59EA3896F40E19C301D0E80E3D8A75A8279310DA0C7EC30B3336A3FB; external boundary"
"CI005","REPO_ROOT/.gitattributes","Text","environment and release configuration","CURRENT_VALIDATION","release contract","reproducible checkout and environment","Git; Python 3.12","audits/CODE_DOCUMENTATION_AUDIT.md","","YES",".gitattributes","sha256=4AA2658F12003DF42FFAA80EA841DEC717B05AA8BEF4C8390F7A28938F67F300"
"CI006","REPO_ROOT/.github/workflows/ci.yml","YAML","environment and release configuration","CURRENT_VALIDATION","release contract","reproducible checkout and environment","Git; Python 3.12","audits/CODE_DOCUMENTATION_AUDIT.md","","YES",".github/workflows/ci.yml","sha256=9CE2F91AC6E358579D89E41343CF869700C7A2F009AA3F8721B73A09D0D47DF0; setup-python interpreter explicitly supplied to launchers"
"CI007","REPO_ROOT/configs/analysis_registry.yaml","YAML","analysis registry governance","CURRENT_PRODUCTION","versioned scientific contract","portable governed configuration","PyYAML","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","configs/analysis_registry.yaml","sha256=63CED959C6B0C61520997F0F3A332359AEF2DA98460FE05B904FFA9FCC725F0B"
"CI008","REPO_ROOT/configs/compounds.yaml","YAML","compounds governance","CURRENT_PRODUCTION","versioned scientific contract","portable governed configuration","PyYAML","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","configs/compounds.yaml","sha256=39C3F8ED65B07D2007FE461CAA0EA63661E64069A5D476CB0BBA4B6F84C88CC0"
"CI009","REPO_ROOT/configs/governed_parameters.yaml","YAML","governed parameters governance","CURRENT_PRODUCTION","versioned scientific contract","portable governed configuration","PyYAML","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","configs/governed_parameters.yaml","sha256=73095C18D650450F9934F8D57592823923568AFD7738E366BE6A076B94264DF3"
"CI010","REPO_ROOT/configs/reference_drugs.yaml","YAML","reference drugs governance","CURRENT_PRODUCTION","versioned scientific contract","portable governed configuration","PyYAML","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","configs/reference_drugs.yaml","sha256=94B677D3D47AB6D1F1765079875088C8B0FE1CAA141D58F665BEFDBE927C6563"
