"analysis_id","boundary_component","source_evidence","new_code","input_authority","expected_output","validation_method","expected_result","observed_result","numeric_difference","status","notes"
"MCR001","Initial pooled-parent activity-table producer and launcher","Frozen table has 17,715 rows, 45 columns, SHA-256 1F799CB884DEA1A3663763F4B87068E0DAA7C348D490F7730665F59CA9F57F2C","NOT_CREATED","Exact earliest construction inputs are not fully recorded","Executable producer for the exact frozen table","Loose-file search, content search, and 208-ZIP central-directory index","Producer and launcher located","No producer or launcher located; all recovered scripts begin at cleanup v2","NOT_ESTIMABLE","OPEN_BLOCKER_FOR_RAW_SOURCE_FULL_MODE","Preserve the CSV as an immutable frozen-input boundary; do not infer construction rules from the output alone."
"MCR002","Species-cleanup v2 producer","Recovered and Downloads copies; authority SUMMARY.json is PASS","src/cardozo_ketamine_hr/upstream/cleanup_pooled_parent_ketamine_activity_v2.py","Initial activity CSV; identity master SHA-256 8613CE151DF7ABC2E329C04FCE2D286760793EB907D47803B7A80146D00C3217; PDSP SHA-256 59A2A29BEE25F459B953212E97BC080B484C61C7582E4AAC458231496E2F849D","17,715 cleaned rows and 81-target summary","Hash comparison, CLI inspection, and named-input preflight","Script hash and authority counts reproduce","Full executed cleanup V2 with stage QA PASS; downstream governed V4 and HR hashes reproduced.","0 at validated downstream authorities","RECOVERED_EXECUTED_AND_VALIDATED","Supports --input, --project-root, and safe --output-parent."
"MCR003","Forensic activity v3 producer","Recovered and Downloads copies; target summary SHA-256 784D026D9B7F4A026E53ACAABCB663AF36D9AA5E155E6FD30268705BA34FF393","src/cardozo_ketamine_hr/upstream/forensic_finalize_pooled_parent_ketamine_activity_v3.py","v2 cleaned and target tables; PDSP workbook; resolvable source rows","81-row forensic target summary","Hash comparison, CLI inspection, and named-input preflight","72 ready exact, four review, five without selected value","Full executed forensic V3 with QA PASS and the frozen input hash; downstream V4 authority reproduced.","0 at validated downstream authority","RECOVERED_EXECUTED_AND_VALIDATED","Supports --project-root, --v2-dir, and --pdsp; writes a timestamped child of v2."
"MCR004","Final activity v4 producer","Recovered and Downloads copies; authority status PASS","src/cardozo_ketamine_hr/upstream/finalize_pooled_parent_ketamine_activity_v4.py","v3 summary SHA-256 784D026D9B7F4A026E53ACAABCB663AF36D9AA5E155E6FD30268705BA34FF393","81-row final summary and 76-row HR input","Hash comparison, CLI inspection, and named-input preflight","36 PDSP >10,000 targets patched","Full executed V4; the selected 76-row activity CSV reproduced exact SHA-256 7C23FC0ED80FF6E460F753F778BDB744AFB3FA12F0EA11215E95760849E3B15C.","0 bytes at selected activity authority","RECOVERED_EXECUTED_AND_VALIDATED","Integrated by the portable Full launcher; derivative-only output."
"MCR005","Full-tissue HR-v1 producer","Sole recovered loose producer plus recovered launcher and frozen HR-v1 summary","src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_full_hr_v1.py","v4 activity; expression master SHA-256 11F4646C13B80C346020B28FA942BFC729950D5D29FB89083EC4BB0829E6C8B7","38 targets x 77 tissues = 2,926 HR rows","Recovered hash, CLI inspection, authority summary, and input preflight","1,694 exact plus 1,232 bounded coordinates","Full executed HR V1 with PASS_WITH_MISSING_EXPRESSION_TARGETS; 38 x 77 = 2926 rows, then downstream expansion reproduced the full77 authority.","old-coordinate max HR delta 7.11e-15","RECOVERED_EXECUTED_AND_VALIDATED","Historical launcher fails unchanged because it searches Downloads, where this producer is absent."
"MCR006","Missing38 BioGPS recovery producer","Recovered producer, launcher, and frozen recovery authority PASS","src/cardozo_ketamine_hr/upstream/audit_recover_missing38_biogas_expression_v1.py","Feature dictionary SHA-256 C118155941DBD00E01ECBB99FB5577D419C0EE8A157ED6788DC2B0316CBF3281; cleaned BioGPS SHA-256 03356BC175FFFC9D24C372865E72ABCAEF2520939EDF508A4CD90FF2C42C9E3D; v4 and HR-v1 authorities","20 x 77 = 1,540 recovered expression rows; 18 targets remain missing","Script hash, authority summary, and 2,926-coordinate contract cross-check","19 targets from feature dictionary plus one from cleaned BioGPS; delta <=1e-10","Recovered producer included at source SHA-256 21976B08E61B22726394A32AC2285C0461A72EF99237CD39AD4FB4457FD7A996 and executed in Full: 20 targets, 1540 rows, QA PASS.","8.881784197001252e-16 expression-Z crosscheck","RECOVERED_INCLUDED_EXECUTED_AND_VALIDATED","Portable Full supplies explicit project, V4, and HR1 directories; no newest-file routing."
"MCR007","Expanded58 HR-v2 producer","Recovered and Downloads copies; authority status PASS","src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_expanded58_hr_v2.py","HR v1; recovered-expression rows; explicit 18-target unrecoverable ledger","58 x 77 = 4,466 finite HR rows","Hash comparison and HR-v1 cross-check","Preserve all 2,926 v1 rows and append 1,540 rows","Full executed expanded58 V2 and reproduced the exact full77 CSV hash EEC4CF21F3113FF214B99A825171FBCC29232E5C925EFCDF3DFC0B7327FAC475; Parquet was numerically equivalent at 1e-12.","CSV exact; Parquet numerical equivalence PASS","RECOVERED_EXECUTED_AND_VALIDATED","Supports --v4-dir, --hr1-dir, and --recovery-dir; needs a derivative output-root wrapper."
"MCR008","Strict18 fingerprint producer","Recovered and Downloads copies; authority status PASS","src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_strict18_fingerprint_v1.py","Expanded58 HR CSV SHA-256 EEC4CF21F3113FF214B99A825171FBCC29232E5C925EFCDF3DFC0B7327FAC475","1,044 strict18 coordinates; 19 and 14 GESD calls","Hash comparison, summary regressions, and independent GESD audit","Exact 58 x 18 roster and call sets","Full executed strict18 V1 and reproduced exact HR/call hashes: 1044 coordinates, 19 and 14 calls.","0 bytes for strict HR and both call tables","RECOVERED_EXECUTED_AND_VALIDATED","Supports --v4-dir and --expanded58-dir."
"MCR009","Whole-body fingerprint outside permanent pipeline","Validated late workflow and exact governed-method snapshot","src/cardozo_ketamine_hr/portable.py; src/cardozo_ketamine_hr/upstream/whole_body_fingerprint_authority.py","Full77 HR and strict18 smoke-test authorities","59 calls at .001; 38 at .0001; 43 targets; 36 tissues","CNS 19/14 smoke test followed by full-body QC","Exact governed method and expected counts","Portable Verify runs the strict-CNS smoke test, regenerates 59 and 38 whole-body calls, validates exact key sets, and renders figures; 87/87 checks PASS.","0 call-key difference","RECONSTRUCTED_AND_VALIDATED","No hard-coded counts; counts are regression expectations only."
"MCR010","Current paper Figure 4 outside permanent pipeline","Final right-legend package with frozen coordinates and QC","src/cardozo_ketamine_hr/portable.py; src/cardozo_ketamine_hr/upstream/figure4_rightlegend_authority.py","Fixed-reference PCA scores SHA-256 79CCCB4DFA80C0FFB6F135AE31D5462939EB193A3D95B96AF5C4A922775749C0; palette","Coordinate-preserving 26-point PNG, PDF, and SVG","Coordinate, roster, palette, overlap, clipping, and export checks","Zero coordinate delta; no refit or jitter","Portable Verify regenerates PNG/PDF/SVG from frozen source coordinates; Figure 4 roster, fixed coordinates, and no-refit/no-jitter checks PASS.","0 coordinate delta","RECONSTRUCTED_AND_VALIDATED","Frozen-coordinate visual derivative only."
